"","D1.SW.BLANK","D1.TANKA.SPONGE.CREAM","D1.TANKA.SPONGE.PINK","D1.TANKA.WATER","D1.TANKB.SPONGE.CREAM","D1.TANKB.SPONGE.PINK","D1.TANKC.SPONGE.BLACK","D1.TANKC.SPONGE.CREAM","D1.TANKC.SPONGE.PINK","D2.FILT.BLANK","D2.SPONGE.CONTROL","D2.SW.BLANK","D2.TANKA.FISH.SPONGE.CREAM","D2.TANKA.FISH.WATER","D2.TANKB.FISH.SPONGE.CREAM","D2.TANKB.FISH.SPONGE.PINK","D2.TANKB.FISH.WATER","D2.TANKC.FISH.SPONGE.CREAM","D2.TANKC.FISH.SPONGE.PINK","D2.TANKC.FISH.WATER","D3.SW.BLANK","D3.TANKA.00H.SPONGE.CREAM","D3.TANKA.00H.SPONGE.PINK","D3.TANKA.00H.WATER","D3.TANKA.04H.SPONGE.CREAM","D3.TANKA.04H.SPONGE.PINK","D3.TANKA.04H.WATER","D3.TANKA.08H.SPONGE.CREAM","D3.TANKA.08H.SPONGE.PINK","D3.TANKA.08H.WATER","D3.TANKB.00H.SPONGE.BLACK","D3.TANKB.00H.SPONGE.CREAM","D3.TANKB.00H.SPONGE.PINK","D3.TANKB.00H.WATER","D3.TANKB.04H.SPONGE.CREAM","D3.TANKB.04H.SPONGE.PINK","D3.TANKB.04H.WATER","D3.TANKB.08H.SPONGE.CREAM","D3.TANKB.08H.SPONGE.PINK","D3.TANKB.08H.WATER","D3.TANKC.00H.SPONGE.CREAM","D3.TANKC.00H.SPONGE.PINK","D3.TANKC.00H.WATER","D3.TANKC.04H.SPONGE.CREAM","D3.TANKC.04H.WATER","D3.TANKC.08H.SPONGE.CREAM","D3.TANKC.08H.SPONGE.PINK","D4.FILT.BLANK","D4.SPONGE.CONTROL","D4.TANKA.24H.SPONGE.CREAM","D4.TANKA.24H.SPONGE.PINK","D4.TANKA.24H.WATER","D4.TANKB.24H.SPONGE.CREAM","D4.TANKB.24H.SPONGE.PINK","D4.TANKB.24H.WATER","D4.TANKC.24H.SPONGE.CREAM","D4.TANKC.24H.SPONGE.PINK","D5.FILT.BLANK","D5.SW.BLANK","D5.TANKA.48H.SPONGE.CREAM","D5.TANKA.48H.SPONGE.PINK","D5.TANKA.48H.WATER","D5.TANKB.48H.SPONGE.CREAM","D5.TANKB.48H.SPONGE.PINK","D5.TANKB.48H.WATER","D5.TANKC.48H.SPONGE.CREAM","D5.TANKC.48H.SPONGE.PINK","D5.TANKC.48H.WATER","D6.SPONGE.CONTROL","D6.SW.BLANK","D6.TANKA.72H.SPONGE.CREAM","D6.TANKA.72H.SPONGE.PINK","D6.TANKA.72H.WATER","D6.TANKB.72H.SPONGE.CREAM","D6.TANKB.72H.SPONGE.PINK","D6.TANKB.72H.WATER","D6.TANKC.72H.SPONGE.CREAM","D6.TANKC.72H.SPONGE.PINK","D6.TANKC.72H.WATER","EXT.BLANK.20201105","EXT.BLANK.20201106","EXT.BLANK.20210607","EXT.BLANK.20210608","EXT.BLANK.20210609","LIB01.PCR.Neg.02","LIB01.PCR.Pos.02","LIB02.PCR.Pos.01","LIB02.PCR.Pos.02","LIB02.PCR.Pos.03"
"Homo_sapiens",0,3,1,0,0,1,0,1,4835,0,0,277,5,277,0,4,1,1,2,2,0,98,905,3687,4989,0,0,1494,3770,0,0,4,2326,8225,1,0,0,7699,7132,0,430,2097,850,2,0,1,746,1043,61,2008,2,3,0,0,0,0,20193,5691,510,0,66,552,4,167,0,78,8144,5,1762,687,196,4212,981,1,2,1,2,4225,0,1169,1691,8437,351,0,0,0,13,14,0
"Odonus_niger",0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphiprion_ocellaris",0,2,1,0,0,0,1,3,1,0,0,0,1,1032,1198,3,11711,1869,5868,4536,1,643,4706,8472,11642,462,5998,99,8357,7,1,19,1,1954,2630,0,2,1,901,3,1652,714,1681,2,116,0,3130,1,0,3248,980,3527,1,0,0,1,0,3,3,0,175,0,0,3094,2,1,0,16,1,0,0,0,0,0,0,0,1,1,0,0,8,1,0,0,0,0,6,7,0
"Pangasianodon_hypophthalmus",0,0,2,0,2,0,2,3,4,0,1,0,0,0,2,7,0,9,3,0,0,3,5,0,6,0,0,0,10,0,0,11,3,0,3,0,0,1,5,0,2,3,0,5,0,1,6,0,0,6,0,0,1,2,0,0,5,0,0,0,1,0,0,6,0,0,12,1,1,0,3,0,0,2,2,0,1,5,0,0,0,5,0,0,66,11,76970,89626,335
"Brevoortia_tyrannus",0,0,0,0,0,0,0,0,3973,0,0,0,0,3,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1513,0,253,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,466,1,1,0,0,0,0,0,0,0,0,0,0,1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
"Siganus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"f_Phasianidaesp",3,0,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mallotus_villosus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251,0,1,0,0,333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0
"Hippocampus_semispinosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,1,0,0,3780,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Halichoeres_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
