name,sum
Homo_sapiens,136160
Odonus_niger,415
Hippocampus_kuda,6559
OTU6,3936
Amphiprion_sp,103649
OTU8,772
Gramma_loreto,38099
Astropecten_armatus,2317
OTU12,20
Pangasianodon_hypophthalmus,191504
Brevoortia_tyrannus,9920
f_Hominidaesp,33
OTU17,31
Halichoeres_ornatissimus,35
OTU19,141
OTU20,13
OTU21,15
Pomadasys_kaakan,21269
OTU23,20
OTU24,12
OTU25,30365
OTU26,2939
OTU27,14
OTU28,1214
OTU29,43
Mallotus_villosus,9091
Siganus_sp,631
f_Phasianidaesp,5316
OTU33,1577
OTU34,471
OTU35,2385
OTU36,7180
OTU37,820
OTU38,278
OTU39,319
OTU40,1257
OTU41,92
OTU42,199
OTU43,1112
OTU44,193
OTU45,53
OTU46,187
OTU47,38
OTU48,76
OTU49,125
OTU50,67
OTU51,18
OTU52,49
OTU53,32
OTU54,21
OTU55,17
OTU56,45
OTU57,53
OTU58,11
OTU59,29
OTU60,15
OTU61,14
OTU62,26
OTU63,14
Chromis_viridis,13802
Zebrasoma_veliferum,57040
