name,tank,hour,hours_fish,date,time,sponge_type,sample,RUN
D1.SPONGE.CONTROL,CONTROL,CONTROL,-1,18/10/2020,17:00,C.SP,ne,4
D1.SW.BLANK,SW,env,-1,18/10/2020,17:00,C.SW,ne,3
D1.TANKA.SPONGE.BLACK,TANKA,env,-1,18/10/2020,17:00,C.BLACK,po,4
D1.TANKA.SPONGE.CREAM,TANKA,env,-1,18/10/2020,17:00,C.CREAM,po,4
D1.TANKA.SPONGE.PINK,TANKA,env,-1,18/10/2020,17:00,C.PINK,po,4
D1.TANKA.WATER,TANKA,env,-1,18/10/2020,17:00,C.TW,po,3
D1.TANKB.SPONGE.BLACK,TANKB,env,-1,18/10/2020,17:00,C.BLACK,po,4
D1.TANKB.SPONGE.CREAM,TANKB,env,-1,18/10/2020,17:00,C.CREAM,po,4
D1.TANKB.SPONGE.PINK,TANKB,env,-1,18/10/2020,17:00,C.PINK,po,4
D1.TANKB.WATER,TANKB,env,-1,18/10/2020,17:00,C.TW,po,3
D1.TANKC.SPONGE.BLACK,TANKC,env,-1,18/10/2020,17:00,C.BLACK,po,4
D1.TANKC.SPONGE.CREAM,TANKC,env,-1,18/10/2020,17:00,C.CREAM,po,4
D1.TANKC.SPONGE.PINK,TANKC,env,-1,18/10/2020,17:00,C.PINK,po,4
D1.TANKC.WATER,TANKC,env,-1,18/10/2020,17:00,C.TW,po,3
D2.FILT.BLANK,FILT,CONTROL,0,19/10/2020,14:00,C.FL,ne,3
D2.SPONGE.CONTROL,CONTROL,CONTROL,0,19/10/2020,14:00,C.SP,ne,4
D2.SW.BLANK,SW,env,0,19/10/2020,14:00,C.SW,ne,3
D2.TANKA.FISH.SPONGE.BLACK,TANKA,0,0,19/10/2020,14:00,SP.BLACK,po,4
D2.TANKA.FISH.SPONGE.CREAM,TANKA,0,0,19/10/2020,14:00,SP.CREAM,po,4
D2.TANKA.FISH.SPONGE.PINK,TANKA,0,0,19/10/2020,14:00,SP.PINK,po,4
D2.TANKA.FISH.WATER,TANKA,0,0,19/10/2020,14:00,WATER,po,3
D2.TANKB.FISH.SPONGE.BLACK,TANKB,0,0,19/10/2020,14:00,SP.BLACK,po,4
D2.TANKB.FISH.SPONGE.CREAM,TANKB,0,0,19/10/2020,14:00,SP.CREAM,po,4
D2.TANKB.FISH.SPONGE.PINK,TANKB,0,0,19/10/2020,14:00,SP.PINK,po,4
D2.TANKB.FISH.WATER,TANKB,0,0,19/10/2020,14:00,WATER,po,3
D2.TANKC.FISH.SPONGE.BLACK,TANKC,0,0,19/10/2020,14:00,SP.BLACK,po,4
D2.TANKC.FISH.SPONGE.CREAM,TANKC,0,0,19/10/2020,14:00,SP.CREAM,po,4
D2.TANKC.FISH.SPONGE.PINK,TANKC,0,0,19/10/2020,14:00,SP.PINK,po,4
D2.TANKC.FISH.WATER,TANKC,0,0,19/10/2020,14:00,WATER,po,3
D3.FILT.BLANK,FILT,CONTROL,20,20/10/2020,10:00,C.FL,ne,3
D3.SPONGE.CONTROL,CONTROL,CONTROL,20,20/10/2020,10:00,C.SP,ne,4
D3.SW.BLANK,SW,env,20,20/10/2020,10:00,C.SW,ne,3
D3.TANKA.00H.SPONGE.BLACK,TANKA,20,20,20/10/2020,10:00,SP.BLACK,po,4
D3.TANKA.00H.SPONGE.CREAM,TANKA,20,20,20/10/2020,10:00,SP.CREAM,po,4
D3.TANKA.00H.SPONGE.PINK,TANKA,20,20,20/10/2020,10:00,SP.PINK,po,4
