family_name,order_name
Childiidae,Acoela
Convolutidae,Acoela
Haploposthiidae,Acoela
Isodiametridae,Acoela
Mecynostomidae,Acoela
Proporidae,Acoela
Sagittiferidae,Acoela
Polycanthiidae,Acoela
Allogromiidae,Allogromiida
Ancyromonadidae,Ancyromonadida
Apusomonadidae,Apusomonadida
Saccamminidae,Astrorhizida
Bacillariaceae,Bacillariales
Acanthocystidae,Centrohelida
Heterophryidae,Centrohelida
Haminoeidae,Cephalaspidea
Colpodellidae,Colpodellida
Oikopleuridae,Copelata
Cymbellaceae,Cymbellales
Paramoebidae,Dactylopodida
Vexilliferidae,Dactylopodida
Ebriidae,Ebriida
Ellobiopsidae,Ellobiopsida
Echinamoebidae,Euamoebida
Hartmannellidae,Euamoebida
Urastomidae,Eulecithophora
Gromiidae,Gromiida
Haplosporidiidae,Haplosporida
Omalogyridae,Heterobranchia crown group
Rhizidiomycetaceae,Hyphochytriida
Katablepharidaceae,Katablepharidales
Branchiostomidae,Leptocardii
Leptocylindraceae,Leptocylindrales
Licmophoraceae,Licmophorales
Hydrobiidae,Littorinimorpha
Littorinidae,Littorinimorpha
Skeneopsidae,Littorinimorpha
Malawimonadidae,Malawimonadales
Mantamonadidae,Mantamonadida
Mastigamoebidae,Mastigamoebida
Volutidae,Neogastropoda
Nucleariidae,Nucleariida
Tontoniidae,Oligotrichida
Opheliidae,Opheliida
Orbiniidae,Orbiniida
Vorticellidae,Peritrichia
Zoothamniidae,Peritrichia
Planomonadidae,Planomonadida
Plasmodiophoridae,Plasmodiophorida
Dinophilidae,Polychaeta incertae sedis
Nerillidae,Polychaeta incertae sedis
Polygordiidae,Polychaeta incertae sedis
Protodrilidae,Polychaeta incertae sedis
Rhizosoleniaceae,Rhizosoleniales
Loxosomatidae,Solitaria
Strombidiidae,Strombidiida
Entomoneidaceae,Surirellales
Skeletonemataceae,Thalassiosirales
Stephanodiscaceae,Thalassiosirales
Thalassiosiraceae,Thalassiosirales
Halacaridae,Trombidiformes
Vannellidae,Vannellida
Haliotidae,Vetigastropoda
Trochidae,Vetigastropoda
Turbinidae,Vetigastropoda
Thraustochytriaceae,Saprolegniales
Suidae,Artiodactyla
Siphonariidae,Heterobranchia
Runcinidae,Runcinacea
Rissoidae,Littorinimorpha
Pyramidellidae,Heterobranchia
Placobranchidae,Sacoglossa
Plakobranchidae,Sacoglossa
Phasianellidae,Vetigastropoda
Patellidae,Patellogastropoda
Aplysiidae,Anaspidea
Conidae,Neogastropoda
Cypraeidae,Littorinimorpha
Mitridae,Neogastropoda
Muricidae,Neogastropoda
Nassariidae,Neogastropoda
Aglajidae,Cephalaspidea
Caecidae,Littorinimorpha
Calliostomatidae,Vetigastropoda
Calyptraeidae,Littorinimorpha
Cephalothricidae,Paleonemertea
Cephalotrichidae,Paleonemertea
Tubulanidae,Paleonemertea
Hubrechtidae,Paleonemertea
Carinomidae,Paleonemertea
Cerithiopsidae,Caenogastropoda crown group
Cerithiidae,Caenogastropoda crown group
Triphoridae,Caenogastropoda crown group
Coccomyxaceae,Chlamydomonadales
Diaphanidae,Cephalaspidea
Fasciolariidae,Neogastropoda
Gastropteridae,Cephalaspidea
Gomphonemataceae,Cymbellales
Histionidae,Jakobida
Andaluciidae,Jakobida
Jakobidae,Jakobida
Hofsteniidae,Acoela
Limapontiidae,Sacoglossa
Naticidae,Littorinimorpha
Vermetidae,Littorinimorpha
Pycnococcaceae,Pseudoscourfieldiales
Collodictyonidae,Diphylatia
Raphidiophryidae,Centrohelida
Myxotrichaceae,Leotiomycetes_incertae_sedis
Leotiomycetes_incertae_sedis,Leotiomycetes_incertae_sedis
Ereynetidae,Trombidiformes
Eupodidae,Trombidiformes
Bovidae,Artiodactyla
Niessliaceae,Hypocreales
Verticillitidae,Dictyoceratida
Eriophyidae,Trombidiformes
Volvatellidae,Sacoglossa
Skeneidae,Vetigastropoda
Ascopariidae,Nemertodermatida
Ancylidae,Basommatophora
Planorbidae,Basommatophora
Ancyrocephalidae,Monopisthocotylea
Cyanophoraceae,Glaucocystales
Fissurellidae,Vetigastropoda
Haemulidae,Perciformes
Helicidae,Pulmonata
Hypogastruridae,Collembola
Lutjanidae,Perciformes
Moronidae,Perciformes
Onychiuridae,Collembola
Philinidae,Cephalaspidea
Plumatellidae,Plumatellida
Pomacentridae,Perciformes
Ptychoderidae,Enteropneusta
Strombidae,Littorinimorpha
Tsukubamonadidae,Tsukubamonadida
Gymnodiniaceae,Gymnodiniales
Sphyraenidae,Perciformes
Vanikorida,Littorinimorpha
Lymnaeidae,Basommatophora
Gerreidae,Perciformes
Philodinidae,Philodinida
Caliphyllidae,Sacoglossa
Bdellidae,Trombidiformes
Capsalidae,Monopisthocotylea
Cunaxidae,Trombidiformes
Oxynoidae,Sacoglossa
