,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,D2.FILT.BLANK,D2.SW.BLANK,D2.TANKA.FISH.WATER,D2.TANKB.FISH.WATER,D2.TANKC.FISH.WATER,D3.TANKA.00H.WATER,D3.TANKA.04H.WATER,D3.TANKA.08H.WATER,D3.TANKB.00H.WATER,D3.TANKB.08H.WATER,D3.TANKC.00H.WATER,D3.TANKC.04H.WATER,D4.FILT.BLANK,D4.TANKA.24H.WATER,D4.TANKB.24H.WATER,D5.FILT.BLANK,D5.REEF.01.WATER,D5.REEF.02.WATER,D5.REEF.03.WATER,D5.SW.BLANK,D5.TANKA.48H.WATER,D5.TANKC.48H.WATER,D6.SW.BLANK,D6.TANKA.72H.WATER,EXT.BLANK.20201105,EXT.BLANK.20201106,LIB01.PCR.Neg.02,LIB01.PCR.Pos.02,D1.TANKA.SPONGE.CREAM,D1.TANKA.SPONGE.PINK,D1.TANKB.SPONGE.CREAM,D1.TANKC.SPONGE.BLACK,D1.TANKC.SPONGE.CREAM,D1.TANKC.SPONGE.PINK,D2.TANKA.FISH.SPONGE.CREAM,D2.TANKB.FISH.SPONGE.CREAM,D2.TANKB.FISH.SPONGE.PINK,D2.TANKC.FISH.SPONGE.CREAM,D2.TANKC.FISH.SPONGE.PINK,D3.TANKA.00H.SPONGE.CREAM,D3.TANKA.00H.SPONGE.PINK,D3.TANKA.04H.SPONGE.CREAM,D3.TANKA.04H.SPONGE.PINK,D3.TANKA.08H.SPONGE.CREAM,D3.TANKA.08H.SPONGE.PINK,D3.TANKB.00H.SPONGE.CREAM,D3.TANKB.00H.SPONGE.PINK,D3.TANKB.04H.SPONGE.CREAM,D3.TANKB.08H.SPONGE.CREAM,D3.TANKB.08H.SPONGE.PINK,D3.TANKC.00H.SPONGE.CREAM,D3.TANKC.00H.SPONGE.PINK,D3.TANKC.04H.SPONGE.CREAM,D3.TANKC.08H.SPONGE.CREAM,D3.TANKC.08H.SPONGE.PINK,D4.SPONGE.CONTROL,D4.TANKA.24H.SPONGE.CREAM,D4.TANKA.24H.SPONGE.PINK,D4.TANKB.24H.SPONGE.CREAM,D4.TANKB.24H.SPONGE.PINK,D4.TANKC.24H.SPONGE.CREAM,D4.TANKC.24H.SPONGE.PINK,D5.REEF.01.SPONGE,D5.REEF.03.SPONGE,D5.TANKA.48H.SPONGE.PINK,D5.TANKB.48H.SPONGE.PINK,D5.TANKC.48H.SPONGE.CREAM,D5.TANKC.48H.SPONGE.PINK,D6.SPONGE.CONTROL,D6.TANKA.72H.SPONGE.CREAM,D6.TANKA.72H.SPONGE.PINK,D6.TANKB.72H.SPONGE.PINK,D6.TANKC.72H.SPONGE.PINK,EXT.BLANK.20210607,EXT.BLANK.20210608,LIB02.PCR.Pos.01,LIB02.PCR.Pos.02,LIB02.PCR.Pos.03
tank_000000005,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,0,426,442,0,0,4375,0,0,9495,0,980,0,1242,0,0,7492,0,0,125,586,640,0,792,1095,1479,1970,0,0,0,0,0,0,0,5514,0,0,0,0,0,107,992,5692,0,1639,4427,0,2649,0,8476,9591,730,2515,0,0,863,68,2308,0,0,0,0,25326,7372,0,77,192,104,10350,2338,218,4806,0,5023,10294,572,0,0,0
tank_000000006,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,,0,0,0,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1410,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
tank_000000008,Metazoa,Chordata,Actinopterygii,Labriformes,Labridae,Scarus,Scarus quoyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940,1145,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000009,Correct_manually,Correct_manually,Correct_manually,Correct_manually,Pomacanthidae,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275,9883,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000013,Metazoa,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma desjardinii,0,0,6571,0,0,9818,0,0,0,0,0,0,0,0,0,0,282,1044,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,916,78,0,526,1799,4165,199,1192,6882,0,0,0,0,0,0,0,0,0,0,0,8178,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000014,Metazoa,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Odonus,Odonus niger,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000017,Correct_manually,Correct_manually,Correct_manually,Lutjaniformes,Haemulidae,Pomadasys,Pomadasys kaakan,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,534,342,0,0,0,0,0,0,0,0,0,0,5971,0,0,0,0,0,0,0,13687,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,896,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0
tank_000000020,Metazoa,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Paracanthurus,Paracanthurus hepatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,6961,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000021,Metazoa,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus kuda,0,0,0,0,1643,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000025,Correct_manually,Correct_manually,Correct_manually,Correct_manually,Siganidae,Siganus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
