name,tank,hour,hours_fish,date,time,sponge_type,sample,experiment,RUN
D1.SPONGE.CONTROL,CONTROL,CONTROL,NA,18/10/2020,17:00,C.SP,ne,tank,NA
D1.SW.BLANK,SW,CONTROL,NA,18/10/2020,17:00,C.SW,ne,tank,3
D1.TANKA.SPONGE.BLACK,TANKA,CONTROL,NA,18/10/2020,17:00,C.BLACK,po,tank,4
D1.TANKA.SPONGE.CREAM,TANKA,env,NA,18/10/2020,17:00,C.CREAM,po,tank,4
D1.TANKA.SPONGE.PINK,TANKA,env,NA,18/10/2020,17:00,C.PINK,po,tank,4
D1.TANKA.WATER,TANKA,env,NA,18/10/2020,17:00,C.TW,po,tank,3
D1.TANKB.SPONGE.BLACK,TANKB,CONTROL,NA,18/10/2020,17:00,C.BLACK,po,tank,4
D1.TANKB.SPONGE.CREAM,TANKB,env,NA,18/10/2020,17:00,C.CREAM,po,tank,4
D1.TANKB.SPONGE.PINK,TANKB,env,NA,18/10/2020,17:00,C.PINK,po,tank,4
D1.TANKB.WATER,TANKB,env,NA,18/10/2020,17:00,C.TW,po,tank,3
D1.TANKC.SPONGE.BLACK,TANKC,env,NA,18/10/2020,17:00,C.BLACK,po,tank,4
D1.TANKC.SPONGE.CREAM,TANKC,env,NA,18/10/2020,17:00,C.CREAM,po,tank,4
D1.TANKC.SPONGE.PINK,TANKC,env,NA,18/10/2020,17:00,C.PINK,po,tank,4
D1.TANKC.WATER,TANKC,env,NA,18/10/2020,17:00,C.TW,po,tank,3
D2.FILT.BLANK,FILT,CONTROL,22,19/10/2020,14:00,C.FL,ne,tank,3
D2.SPONGE.CONTROL,CONTROL,CONTROL,22,19/10/2020,14:00,C.SP,ne,tank,4
D2.SW.BLANK,SW,CONTROL,22,19/10/2020,14:00,C.SW,ne,tank,3
D2.TANKA.FISH.SPONGE.BLACK,TANKA,1,22,19/10/2020,14:00,SP.BLACK,po,tank,4
D2.TANKA.FISH.SPONGE.CREAM,TANKA,1,22,19/10/2020,14:00,SP.CREAM,po,tank,4
D2.TANKA.FISH.SPONGE.PINK,TANKA,1,22,19/10/2020,14:00,SP.PINK,po,tank,4
D2.TANKA.FISH.WATER,TANKA,1,22,19/10/2020,14:00,WATER,po,tank,3
D2.TANKB.FISH.SPONGE.BLACK,TANKB,1,22,19/10/2020,14:00,SP.BLACK,po,tank,4
D2.TANKB.FISH.SPONGE.CREAM,TANKB,1,22,19/10/2020,14:00,SP.CREAM,po,tank,4
